No,Student ID,Full Name,Last Name,First Name,Birth,Gender,Social ID
1,23120001,TON KIM AI,TON,KIM AI,5/9/2005,female,1712345
2,23120002,NGUYEN CHANH DAI,NGUYEN,CHANH DAI,14/08/2005,male,1712346
3,23120003,VO DUC MINH,VO,DUC MINH,28/01/2005,male,1712347
4,23120004,NGUYEN CHAN,NGUYEN,CHAN,15/12/2005,male,1712348
5,23120005,DO LE KHANH DANG,DO,LE KHANH DANG,10/11/2005,male,1712349
6,23120006,PHAM XUAN NGHIA,PHAM,XUAN NGHIA,25/01/2005,female,1712350
7,23120007,NGUYEN NGOC KHANH VY,NGUYEN,NGOC KHANH VY,20/02/2005,male,1712351
8,23120008,PHAM TRAN THANH PHONG,PHAM,TRAN THANH PHONG,26/12/2005,male,1712352
9,23120009,DANG HUU PHU,DANG,HUU PHU,4/8/2005,male,1712353
10,23120010,NGUYEN DINH PHU,NGUYEN,DINH PHU,14/01/2005,male,1712354
11,23120011,NGUYEN HOAI PHU,NGUYEN,HOAI PHU,9/4/2005,male,1712355
12,23120012,BUI HONG PHUC,BUI,HONG PHUC,30/08/2005,male,1712356
13,23120013,DUONG HOANG HONG PHUC,DUONG,HOANG HONG PHUC,8/11/2005,male,1712357
14,23120014,HA GIA PHUC,HA,GIA PHUC,17/03/2005,male,1712358
15,23120015,NGUYEN LE ANH PHUC,NGUYEN,LE ANH PHUC,22/06/2005,male,1712359
16,23120016,NGUYEN VAN PHUC,NGUYEN,VAN PHUC,18/02/2005,male,1712360
17,23120017,NGUYEN VAN HOANG PHUC,NGUYEN,VAN HOANG PHUC,3/6/2005,male,1712361
18,23120018,PHAM TAI PHUC,PHAM,TAI PHUC,30/01/2005,male,1712362
19,23120019,PHAN HONG PHUC,PHAN,HONG PHUC,26/09/2005,male,1712363
20,23120020,DUONG KIM PHUNG,DUONG,KIM PHUNG,21/08/2005,male,1712364
21,23120021,NGUYEN VAN PHUOC,NGUYEN,VAN PHUOC,19/06/2005,male,1712365
22,23120022,LE VO MINH PHUONG,LE,VO MINH PHUONG,29/04/2005,male,1712366
23,23120023,NGUYEN MANH PHUONG,NGUYEN,MANH PHUONG,27/03/2005,male,1712367
24,23120024,DO THI KIM PHUONG,DO,THI KIM PHUONG,21/10/2005,male,1712368
25,23120025,HO NGOC TRUNG QUAN,HO,NGOC TRUNG QUAN,8/5/2005,male,1712369
26,23120026,LE MINH QUAN,LE,MINH QUAN,21/04/2005,male,1712370
27,23120027,NGUYEN HAI QUAN,NGUYEN,HAI QUAN,28/11/2005,male,1712371
28,23120028,VO HOANG ANH QUAN,VO,HOANG ANH QUAN,1/12/2005,male,1712372
29,23120029,CAO MINH QUANG,CAO,MINH QUANG,30/08/2005,male,1712373
30,23120030,HO MINH QUANG,HO,MINH QUANG,11/4/2005,male,1712374
31,23120031,LE VAN QUANG,LE,VAN QUANG,8/6/2005,male,1712375
32,23120032,VO QUOC QUANG,VO,QUOC QUANG,7/5/2005,male,1712376
33,23120033,NGUYEN TIEN QUOC,NGUYEN,TIEN QUOC,16/04/2005,male,1712377
34,23120034,NGUYEN TRUNG QUOC,NGUYEN,TRUNG QUOC,26/03/2005,male,1712378
35,23120035,DANG QUY,DANG,QUY,11/8/2005,male,1712379
36,23120036,MAI XUAN QUY,MAI,XUAN QUY,16/06/2005,male,1712380
37,23120037,NGUYEN THI KIM QUY,NGUYEN,THI KIM QUY,23/08/2005,male,1712381
